id,وقت صعود المركبة,وقت النزول من المركبة,Pickup LONGITUDE,Pickup LATITUDE,Drop off LATITUDE,Drop off LONGTIDE,المسافة,المبلغ المدفوع,المبلغ المدعوم,المبلغ الإجمالي,تاريخ الرحلة
1,2023-01-01 07:40:23,2023-01-01 07:53:57,40.43,21.28,21.32,40.43,9.45056,4.18,16.72,20.9,2023-01-01 07:55:42
2,2023-01-01 07:32:32,2023-01-01 07:56:01,50.03,26.41,26.41,50.11,9.874,8.84,35.36,44.2,2023-01-01 07:57:32
3,2023-01-01 07:46:47,2023-01-01 07:58:33,39.18,21.54,21.52,39.16,3.124,4.93,19.74,24.67,2023-01-01 08:00:05
4,2023-01-01 07:39:22,2023-01-01 07:58:28,50.08,26.36,26.33,50.18,19.12,12.84,51.37,64.21,2023-01-01 08:00:15
5,2023-01-01 07:37:30,2023-01-01 07:58:48,39.52,24.45,24.45,39.59,13.3223,9.23,36.91,46.14,2023-01-01 08:00:23
